"X","DIDE_CODE","CONTINENT","ISO","NAME_0","NAME_1","map_prev_210_2019","prev_2_10","prev_0_5","inf_inc_0_5","clin_inc_0_5","sev_inc_0_5","sev_inc_0_10","sev_inc_0_1","sev_inc_1_2","sev_inc_2_3","sev_inc_3_4","sev_inc_4_5","sev_inc_5_6","sev_inc_6_7","sev_inc_7_8","sev_inc_8_9","sev_inc_9_10","eir","inc_sma_ppy","inc_sma_ppy_0_10","prev_2_10_round","ind_sma","prev_2_10_sma","inc_sma_ppy_0_5_paton","inc_sma_ppy_genpop_prophosp_paton07","inc_sma_ppy_genpop_prophosp_paton05","inc_sma_ppy_genpop_prophosp_paton03","repmod_no_pmc_h03__ph07_inc_sma_ppy","repmod_no_pmc_h03__ph07_inc_sma_all_paton_eq_check","repmod_no_pmc_h03__ph07_inc_sma_all_hosp_eq","repmod_no_pmc_h03__ph07_inc_sma_pd_eq","repmod_no_pmc_h03__ph07_inc_sev_oth_pd_eq","repmod_no_pmc_h03__ph07_inc_sma_1_3_pd_eq","repmod_no_pmc_h03__ph07_inc_sev_oth_1_3_pd_eq","repmod_no_pmc_h03__ph07_num_pmc_eq","repmod_no_pmc_h03__ph07_num_sma_gen_pppy","repmod_no_pmc_h03__ph07_num_sma_pd_pppy","repmod_no_pmc_h03__ph07_num_sev_oth_pd_pppy","repmod_no_pmc_h03__ph07_deaths_pppy","repmod_pmc_h03__ph07_inc_sma_ppy","repmod_pmc_h03__ph07_inc_sma_all_paton_eq_check","repmod_pmc_h03__ph07_inc_sma_all_hosp_eq","repmod_pmc_h03__ph07_inc_sma_pd_eq","repmod_pmc_h03__ph07_inc_sev_oth_pd_eq","repmod_pmc_h03__ph07_inc_sma_1_3_pd_eq","repmod_pmc_h03__ph07_inc_sev_oth_1_3_pd_eq","repmod_pmc_h03__ph07_num_pmc_eq","repmod_pmc_h03__ph07_num_sma_gen_pppy","repmod_pmc_h03__ph07_num_sma_pd_pppy","repmod_pmc_h03__ph07_num_sev_oth_pd_pppy","repmod_pmc_h03__ph07_deaths_pppy","repmod_no_pmc_h05__ph05_inc_sma_ppy","repmod_no_pmc_h05__ph05_inc_sma_all_paton_eq_check","repmod_no_pmc_h05__ph05_inc_sma_all_hosp_eq","repmod_no_pmc_h05__ph05_inc_sma_pd_eq","repmod_no_pmc_h05__ph05_inc_sev_oth_pd_eq","repmod_no_pmc_h05__ph05_inc_sma_1_3_pd_eq","repmod_no_pmc_h05__ph05_inc_sev_oth_1_3_pd_eq","repmod_no_pmc_h05__ph05_num_pmc_eq","repmod_no_pmc_h05__ph05_num_sma_gen_pppy","repmod_no_pmc_h05__ph05_num_sma_pd_pppy","repmod_no_pmc_h05__ph05_num_sev_oth_pd_pppy","repmod_no_pmc_h05__ph05_deaths_pppy","repmod_pmc_h05__ph05_inc_sma_ppy","repmod_pmc_h05__ph05_inc_sma_all_paton_eq_check","repmod_pmc_h05__ph05_inc_sma_all_hosp_eq","repmod_pmc_h05__ph05_inc_sma_pd_eq","repmod_pmc_h05__ph05_inc_sev_oth_pd_eq","repmod_pmc_h05__ph05_inc_sma_1_3_pd_eq","repmod_pmc_h05__ph05_inc_sev_oth_1_3_pd_eq","repmod_pmc_h05__ph05_num_pmc_eq","repmod_pmc_h05__ph05_num_sma_gen_pppy","repmod_pmc_h05__ph05_num_sma_pd_pppy","repmod_pmc_h05__ph05_num_sev_oth_pd_pppy","repmod_pmc_h05__ph05_deaths_pppy","repmod_no_pmc_h07__ph03_inc_sma_ppy","repmod_no_pmc_h07__ph03_inc_sma_all_paton_eq_check","repmod_no_pmc_h07__ph03_inc_sma_all_hosp_eq","repmod_no_pmc_h07__ph03_inc_sma_pd_eq","repmod_no_pmc_h07__ph03_inc_sev_oth_pd_eq","repmod_no_pmc_h07__ph03_inc_sma_1_3_pd_eq","repmod_no_pmc_h07__ph03_inc_sev_oth_1_3_pd_eq","repmod_no_pmc_h07__ph03_num_pmc_eq","repmod_no_pmc_h07__ph03_num_sma_gen_pppy","repmod_no_pmc_h07__ph03_num_sma_pd_pppy","repmod_no_pmc_h07__ph03_num_sev_oth_pd_pppy","repmod_no_pmc_h07__ph03_deaths_pppy","repmod_pmc_h07__ph03_inc_sma_ppy","repmod_pmc_h07__ph03_inc_sma_all_paton_eq_check","repmod_pmc_h07__ph03_inc_sma_all_hosp_eq","repmod_pmc_h07__ph03_inc_sma_pd_eq","repmod_pmc_h07__ph03_inc_sev_oth_pd_eq","repmod_pmc_h07__ph03_inc_sma_1_3_pd_eq","repmod_pmc_h07__ph03_inc_sev_oth_1_3_pd_eq","repmod_pmc_h07__ph03_num_pmc_eq","repmod_pmc_h07__ph03_num_sma_gen_pppy","repmod_pmc_h07__ph03_num_sma_pd_pppy","repmod_pmc_h07__ph03_num_sev_oth_pd_pppy","repmod_pmc_h07__ph03_deaths_pppy"
1,100035,"Africa","AGO","Angola","Bengo",0.217096324068262,0.2192558,0.152535086027397,0.953011562547945,0.608136439726027,0.0241539281246575,0.0156101220454521,0.0217837448454795,0.0345110542767123,0.0283475426767123,0.0204722013246575,0.0149680350320548,0.0107379059820548,0.00736092799909589,0.00545593339241096,0.00421620226046575,0.00309430764926027,5.11442896547945,0.0129328694882092,0.00816362924136236,0.217,218,0.217,0.000975326027099053,0.00123222916809382,0.00172859196397233,0.00288795532311283,0.00138811606939155,0.000971680694277924,0.000416434266505659,0.328583107250958,0.434112743987718,0.383266152563553,0.506358206122948,0.000385617910775944,0.00123155579972656,0.000156559741411767,0.000206811486990787,0.000178128238487791,0.00136014843973044,0.000952103375614122,0.000408043999730581,0.269026780660512,0.355422164017721,0.288159209085078,0.380691251897622,0.000377848532514542,0.00123155869754611,0.000128589308306038,0.000169864445432087,0.000173981774225343,0.00195059087048044,0.000975294132245156,0.000975294132245156,0.328537248586066,0.434052155333027,0.382409963801765,0.505226847229167,0.000903121159754617,0.00172724165212528,0.000223348161431103,0.00029503732611132,0.000220925172952119,0.00188599385561737,0.000942995709667307,0.000942995709667307,0.232338203745845,0.306948337482175,0.228268902689709,0.301562230216091,0.000873212899104468,0.0017272519553851,0.000158741149035914,0.000209695845372158,0.000212474728788337,0.00326336929863071,0.000979007726011239,0.00228435544550485,0.328491527422448,0.433991748351247,0.381557629981878,0.504100583075831,0.00211530652292262,0.00288411691641737,0.000379249385529312,0.000500978979995565,0.000320424810300267,0.00311413914771685,0.000934238954534285,0.00217989461363089,0.19787980575824,0.261422499298259,0.171563698534065,0.226645317104714,0.00201857638433331,0.00288416019924198,0.000229977131272324,0.000303800429911602,0.000303505511692321
2,100036,"Africa","AGO","Angola","Benguela",0.0984915279450215,0.0999974594520548,0.0649802189041096,0.292739774082192,0.214961680520548,0.012177663518274,0.00920398688978082,0.00870609311780822,0.0138567706931507,0.0147087636876712,0.0130334202243836,0.0106790909986301,0.00870964872835616,0.00653205078676712,0.00556534173389041,0.0047042895080274,0.00406304265336986,1.43971712328767,0.00615875973810412,0.00432524204806377,0.098,99,0.098,0.000268304783575137,0.000368372822541849,0.000516081208353572,0.000860796139213411,0.000382793571332976,0.000267955457772243,0.000114838029255273,0.101811356513449,0.134510996179113,0.122477749484559,0.161815237414693,0.000106339998358455,0.00036831445865058,1.44790981123325e-05,1.91286193923229e-05,4.84794156706445e-05,0.000380295911023661,0.000266207096136425,0.000114088731718867,0.0841732168599797,0.111207231800184,0.0925026278789906,0.122211169874274,0.000105646149047373,0.000368314539008049,1.19813599659676e-05,1.5828841875173e-05,4.81091126927726e-05,0.000536593192234375,0.00026829649748999,0.00026829649748999,0.101807349476624,0.134505702112245,0.122390645227151,0.161700150694191,0.000248442465383621,0.000515964640221106,2.06285228527314e-05,2.72527446841862e-05,5.9969112680507e-05,0.000530784247283917,0.000265392027158425,0.000265392027158425,0.0730334373710381,0.0964893809429734,0.0734394354115715,0.0970248275071439,0.000245752927805573,0.000515964926274358,1.48193000609428e-05,1.9578144030912e-05,5.9209199124265e-05,0.000895443697276265,0.000268632878542837,0.000626810357453192,0.101803345970353,0.134500412709968,0.122303665307573,0.161585228264327,0.000580425892612389,0.000860466256506565,3.49773583125125e-05,4.62092719723677e-05,8.6740127416161e-05,0.000881933804297826,0.000264579917548811,0.000617353439243483,0.0623599515582336,0.0823877314778413,0.0551276591580863,0.0728316563064955,0.000571668801291864,0.000860467460087195,2.14662936049617e-05,2.83597194471057e-05,8.52084300311607e-05
3,100037,"Africa","AGO","Angola","Bie",0.290968621689498,0.290307964383562,0.212414142465753,1.64747797260274,0.934481783260274,0.0304358764178082,0.0183630357553699,0.0313371240884932,0.0461804345235616,0.0345693446394521,0.0233285118556164,0.0151803708020822,0.00968205815410959,0.00617281531375343,0.00437271522035616,0.00331917908260274,0.00257076803380822,9.43691891232877,0.0167082401170702,0.010134489119601,0.291,292,0.291,0.00156570835299044,0.00184031892016746,0.00258492722682469,0.00432475007978739,0.00222346943219954,0.00155642718059198,0.0006670394075848,0.540400151420436,0.713951607873486,0.61300058284565,0.809862737781662,0.000617677925272155,0.00183877605988833,0.000384691434693577,0.000508115781369235,0.000288320569983242,0.00215274710952892,0.00150692164363018,0.000645822799739666,0.438559427181205,0.579385394053198,0.459129701396908,0.60653878901169,0.000598031382512061,0.00183878662760664,0.000313958900467002,0.000414694418242186,0.000277835388759409,0.00313135262784469,0.00156567295618257,0.00156567295618257,0.540267058062762,0.71377576360171,0.610803777219152,0.806959657157151,0.00144981004338598,0.0025818214472983,0.000549527293984319,0.000725837642376053,0.000358429622801005,0.00296893222870734,0.00148446309577053,0.00148446309577053,0.377203723821657,0.498319483953482,0.363073795274486,0.479625106003458,0.00137461002958366,0.00258185901729693,0.000387070473625471,0.000511269604372899,0.000337182221866311,0.00525021037482366,0.0015750551831681,0.00367513933348049,0.540134639985107,0.713600811556182,0.60862289017024,0.804077618572531,0.00340316187813558,0.00431588681846907,0.000934312509571439,0.00123407762231344,0.000521055696338019,0.00487704817482293,0.00146310761008729,0.00341392688011365,0.320568567923234,0.423494445644221,0.273245681089586,0.360949605268607,0.00316128150363999,0.00431604454446064,0.000560996996935806,0.000741013640454719,0.000478747511040426
4,100038,"Africa","AGO","Angola","Cabinda",0.305925088076791,0.307701931506849,0.22320264109589,1.73725580931507,0.969744883457534,0.0312885894728904,0.0187656074881918,0.0316255262665753,0.0481689210408219,0.0352399190849315,0.0238544037156164,0.0152968249492329,0.00954287258109589,0.00599446804942466,0.00427897649230137,0.00304329794117808,0.00244307722578082,10.0708032523288,0.0171182366022195,0.0103401568259974,0.306,307,0.306,0.00168301316487,0.00196112266989862,0.0027550520798597,0.00461018383311702,0.0023894367803063,0.00167260410415332,0.000716829391814837,0.566958882530036,0.74903890810648,0.64092235839987,0.846749488692604,0.00066378336245839,0.00195936493527575,0.000430069536843054,0.000568045711723704,0.000310214661170498,0.00231010680141066,0.00161707322598816,0.000693030505337337,0.459611474842624,0.607195694946799,0.479825539777097,0.633875957337246,0.000641745637235196,0.0019593775120646,0.000350727406823265,0.000463254676271073,0.000298453327789499,0.00336596316811443,0.00168297770442544,0.00168297770442544,0.566811229773422,0.748843827736012,0.638520045494275,0.843574799020593,0.00155843375472423,0.00275151209854895,0.000614446438418129,0.000811575062716054,0.000385753076526045,0.0031838983189583,0.0015919456879945,0.0015919456879945,0.39511421078902,0.52197885927771,0.379364816633626,0.501142299637156,0.00147413848972634,0.0027515568124028,0.000432338247637968,0.000571055798185077,0.000361935840167935,0.00564492235758621,0.00169346754105399,0.003951436484618,0.566664364991695,0.74864978849396,0.636135946142585,0.840424185532498,0.00365901036171813,0.00460007679051435,0.00104483240045827,0.00138003912701281,0.000560917802562383,0.00522690647196902,0.0015680640823663,0.0036588266712941,0.335703652656058,0.44348708537644,0.285556777319186,0.377209109349674,0.0033880565116745,0.00460026449509379,0.000626634079423099,0.000827703761983426,0.000513524153422877
5,100039,"Africa","AGO","Angola","Cuando Cubango",0.28554319643034,0.288625742465753,0.208632997260274,1.65104814926027,0.942399723205479,0.0310624287709863,0.0187167429071233,0.0329377548879452,0.0463354143134247,0.0357198470671233,0.0233066860256712,0.015198008166411,0.00951067805315069,0.00620012959890411,0.00433796688969863,0.00318213526331507,0.00241175662339726,9.69094816273973,0.0170809724274902,0.0103292489521939,0.286,287,0.286,0.00152605173361751,0.00178733987255304,0.00251058654724401,0.00420017967133759,0.00216696103586094,0.00151687137454139,0.000650086960037061,0.551174113603723,0.728185326468134,0.624350487472446,0.824856839118447,0.000601979986998612,0.00178588258401178,0.000381076587706283,0.000503338527177012,0.000281130961326934,0.0020968069126474,0.00146776357422297,0.000629040809076799,0.447104914344526,0.590674225330846,0.467544470410912,0.617653913546145,0.000582491286185165,0.00178589274734617,0.000310912644288939,0.000410668723353959,0.000270730032438551,0.00305204635469113,0.00152601998760572,0.00152601998760572,0.551035214976605,0.728001812186907,0.622071260770572,0.821844826977144,0.00141309154946942,0.00250765261552386,0.000544389999647135,0.000719048356385018,0.00034952525878973,0.00289097719119717,0.00144548573347731,0.00144548573347731,0.384476023684818,0.507926061756986,0.36969825378488,0.488374737391472,0.00133851713677825,0.00250768874701453,0.000383285811096129,0.000506268168764669,0.000328454654591333,0.00511738288037487,0.00153520733101317,0.00358216048357261,0.550897035906144,0.727819248634002,0.619808860557463,0.818855057197571,0.0033170643177743,0.00419180682201461,0.000925565429773657,0.00122251776516521,0.000508128174051714,0.00474744741037173,0.00142422773960781,0.00332320670383127,0.326714814744044,0.431613332161654,0.278251131452337,0.367560436743975,0.00307727539536058,0.00419195848327076,0.000555482547727314,0.000733726411395619,0.000466185922863257
6,100040,"Africa","AGO","Angola","Cuanza Norte",0.307290325068948,0.30587218630137,0.222838287671233,1.72293246745205,0.955788067356164,0.0308029628420822,0.0185858929636959,0.0316727063287671,0.0462674674827397,0.0357751758956164,0.0234350870807123,0.0147710888878082,0.00944736482772603,0.00625096555419178,0.00435295829460274,0.00313605913671233,0.00231244764452055,9.82681446575342,0.0168664085819946,0.0102053157304555,0.307,308,0.307,0.00169072761253591,0.00197663164284958,0.00277672975311725,0.00464625720742633,0.00240060045886722,0.00168041866369399,0.000720178479987919,0.556864623384303,0.735703178824556,0.630332504185936,0.832759529351425,0.000666884612271265,0.00197484823352489,0.000425749922242204,0.000562343006358762,0.000311522371256487,0.0023221671414104,0.00162551544790858,0.000696648591233588,0.451615429324255,0.596632732112876,0.471978334989496,0.623510611909001,0.000645095978576934,0.00197486078713491,0.000347304475435394,0.000458735655284348,0.000299893966607842,0.00338138732028345,0.00169068974482828,0.00169068974482828,0.556722603014407,0.735515540049425,0.628009222285217,0.829689291572713,0.00156557507185414,0.00277313859306797,0.000608244106703761,0.00080338679276645,0.000387342668294039,0.00320133287032425,0.00160066292553267,0.00160066292553267,0.388313393788884,0.51299514616069,0.373188415753589,0.492984545067176,0.00148221061666282,0.00277318322474291,0.000428146392896234,0.000565521467573808,0.000363788405717087,0.00567024476913404,0.00170106418201593,0.00396916209014994,0.556581326356183,0.735328883918318,0.625703259072869,0.826641946883455,0.00367542409620775,0.00463600565859718,0.00103422597562892,0.00136603656069853,0.000563172272412506,0.00525674526668814,0.00157701563081743,0.00367971373758373,0.329957526598538,0.435896781069333,0.280888655315502,0.371043864937825,0.00340739774110382,0.00463619302081073,0.000620544364093724,0.000819663435100859,0.000516290624465363
7,100041,"Africa","AGO","Angola","Cuanza Sul",0.198385796215388,0.204864334246575,0.141462793424658,0.814116394986301,0.538371894986301,0.0223970080285479,0.0146770398017534,0.0193202235010959,0.0304093940273973,0.0265692359063014,0.0205683843142466,0.0145078505415616,0.0100650100363288,0.00757727274,0.0055221263829863,0.00433010759035616,0.0033985415490137,4.38803686356164,0.0118380116717925,0.00754888063660185,0.198,199,0.198,0.000833127333149725,0.00106782591635249,0.00149804071042518,0.00250193817039645,0.00118595096355117,0.000830165269877843,0.000355784884465832,0.287356453190993,0.379646179190032,0.337037770874542,0.445283946097944,0.000329456642428286,0.00106732297066704,0.000118627645995858,0.000156707259970269,0.00015184708176223,0.00116488650144301,0.000815420160643315,0.000349465560082655,0.235684228137463,0.311373314573123,0.253601959060515,0.335039603038365,0.000323604953706271,0.00106732487501707,9.75613411387763e-05,0.000128879435696114,0.000148724074902768,0.00166627576889815,0.000833136933601493,0.000833136933601493,0.287321920154189,0.379600554057246,0.336376091885153,0.444409625929832,0.00077148391999939,0.00149703229441901,0.00016924278033534,0.000223569919670969,0.000188297988976682,0.00161755034520698,0.000808774276552423,0.000808774276552423,0.203710701701303,0.269129268604134,0.200969036503766,0.265499502491445,0.000748924150340356,0.0014970390704832,0.000120510780491025,0.000159196711999615,0.000181923832930105,0.00278637006641851,0.000835908786485129,0.00195045681305609,0.287287476986179,0.37955504766261,0.335717029227416,0.443538763408298,0.00180611818310795,0.00249907413059213,0.000287293968821249,0.000379515708180283,0.000272964211395707,0.00267367967595936,0.000802101846341726,0.00187157371674577,0.17357493611811,0.229314394387589,0.151009039912626,0.199493929647391,0.00173307281840849,0.00249910260019777,0.000174575880461226,0.000230619177841993,0.000260187714375521
8,100042,"Africa","AGO","Angola","Cunene",0.100345424490825,0.101222078630137,0.0652472824657534,0.318575375808219,0.233325601232877,0.0131803639624658,0.00956085492868493,0.00926012090931507,0.0153422279890411,0.0158615362643836,0.013994497329863,0.0115678619843836,0.00874359084164384,0.00645826915109589,0.00538533818293151,0.00411377980353425,0.00336915400358904,1.55276406356164,0.00667211846464921,0.00457169851221257,0.1,101,0.1,0.000275743896095829,0.000377475074444527,0.000528858800000346,0.000882153014619158,0.000393370279330836,0.000275359151013229,0.000118011039289012,0.109485273270771,0.144649563627573,0.131569510582544,0.17382704922761,0.000109278204710219,0.000377413724471369,1.59565383602347e-05,2.10804164355692e-05,4.98430261745221e-05,0.000390614280248601,0.000273429952261015,0.000117184240161587,0.0904874412170504,0.119549311464858,0.0993532791091041,0.131261848574131,0.000108512588984436,0.000377413815202774,1.32004513558914e-05,1.74393489435552e-05,4.94344220550361e-05,0.000551470925196832,0.000275735358447669,0.000275735358447669,0.109480622840794,0.144643419512112,0.131468980554327,0.173694223175026,0.000255330845471515,0.000528736249573773,2.27346426492795e-05,3.00350693955557e-05,6.16621243825388e-05,0.000545062676393368,0.000272531236432135,0.000272531236432135,0.0784992549646557,0.103710536080589,0.078871864611922,0.104201721801003,0.000252363830730606,0.000528736572584193,1.63260801187836e-05,2.15687150378948e-05,6.08238114599092e-05,0.000920356719558935,0.000276106772193977,0.000644249460017387,0.109475976827359,0.144637281231806,0.131368604726195,0.173561600872368,0.00059657447348567,0.000881806150180769,3.85504762436728e-05,5.09295992633643e-05,8.91978993471818e-05,0.000905456543486379,0.000271636727194233,0.000633819344596733,0.0670209138622646,0.0885455239017371,0.059207797833592,0.0782219371857896,0.000586916203499453,0.000881807509127565,2.36489771843957e-05,3.12432230008782e-05,8.75085775960009e-05
9,100043,"Africa","AGO","Angola","Huambo",0.0503003858468594,0.0510505569863014,0.0310383180821918,0.123346348821918,0.0956092036164384,0.00667016231068493,0.00624462464235616,0.00398385952328767,0.006628275,0.00744200319178082,0.00785181618082192,0.00782436204657534,0.00722424995287671,0.00628237277287671,0.00568608848328767,0.0048969253899726,0.00474792927219178,0.60173217169863,0.00325143309531059,0.00266966354680551,0.05,51,0.05,0.000131655826512716,0.000184887780897987,0.000258923175822658,0.000431689937252552,0.000187974768097108,0.000131582327491095,5.6392420276567e-05,0.0434809323454299,0.05744622657632,0.0527333606042152,0.0696704247205747,5.22193771277567e-05,0.000184873199261063,3.10156726509516e-06,4.09765657984621e-06,2.37166252226263e-05,0.000187444951388914,0.000131211455848525,5.62334753253798e-05,0.0360399512842275,0.0476152223355477,0.0398769626643489,0.0526844884039185,5.20721941225117e-05,0.000184873207892496,2.57174219382494e-06,3.39767759454543e-06,2.36380745543346e-05,0.00026331116688995,0.000131655559721137,0.000131655559721137,0.0434802217821033,0.0574452877884854,0.0527172309116202,0.0696491139437379,0.000121913026298599,0.000258894085828974,4.41707792794663e-06,5.8356523563663e-06,2.93147439332234e-05,0.000262076660947727,0.000131038306931624,0.000131038306931624,0.0313093218456707,0.0413651608700737,0.0316791107406538,0.0418535463677119,0.000121341450448137,0.000258894116626582,3.18254206377019e-06,4.20464395280262e-06,2.91532485076903e-05,0.000439094365941516,0.000131728254330496,0.000307366000682771,0.0434795114811156,0.0574443493471805,0.0527011111098251,0.069627816235055,0.000284620796794782,0.000431607709821899,7.4866472262268e-06,9.89103465266702e-06,4.23689668781962e-05,0.000436217924221594,0.000130865322538813,0.000305352492203119,0.0267522549270074,0.035344433110333,0.0237734049894075,0.031408659736205,0.00028275628952025,0.000431607839374532,4.61007943622147e-06,6.09065390652248e-06,4.20428481151284e-05
10,100044,"Africa","AGO","Angola","Huila",0.0600144895335197,0.0628164964383562,0.039564684109589,0.159990890246575,0.123127864493151,0.00830232459890411,0.00758964246605479,0.0050411387060274,0.00866230175342466,0.00971520912328767,0.00971679096,0.00866647185753425,0.00835857332082192,0.00731233689890411,0.0067314592830137,0.00613732412523288,0.00544362780739726,0.770740563369863,0.00408239106464531,0.00328540989608176,0.06,61,0.06,0.000154353470640796,0.000215751305836067,0.000302169537378421,0.000503835152608163,0.000220347860493914,0.000154243488374333,6.61043441848746e-05,0.0554519590756233,0.0732620941556153,0.0671393736645646,0.0887033756875995,6.12126171718171e-05,0.00021573141562872,4.61644213666847e-06,6.09900848147173e-06,2.78230573149252e-05,0.000219557662751224,0.000153690350070657,6.58672849458563e-05,0.0459382281323618,0.0606925448668876,0.050757700695319,0.0670597385040245,6.09931003706509e-05,0.000215731430662814,3.82622986745828e-06,5.05502591455681e-06,2.77059025567785e-05,0.000308704877537425,0.000154352406152432,0.000154352406152432,0.0554507965224409,0.0732605582030132,0.0671132214873087,0.0886688228536244,0.000142930297860406,0.00030212984763577,6.57502445915565e-06,8.68658781028415e-06,3.4396050485351e-05,0.000306864371316201,0.000153432153409558,0.000153432153409558,0.0398980623876939,0.0527123274449747,0.040317655737615,0.0532664049818336,0.00014207814419561,0.000302129901085837,4.73446631139268e-06,6.2549493493315e-06,3.41552794684881e-05,0.000514868072038481,0.000154460345377355,0.000360407574184614,0.0554496345188395,0.0732590229765354,0.0670870897373575,0.0886342970094553,0.000333737248923012,0.000503722936336136,1.11451203618914e-05,1.47243660098107e-05,4.97209931114324e-05,0.000510581276495581,0.000153174307962847,0.000357406818544842,0.0340859766113403,0.0450334874376124,0.0302578497172881,0.0399755610846977,0.00033095855194918,0.000503723161239875,6.85810579107774e-06,9.06061146143509e-06,4.92349743036309e-05
