"X","DIDE_CODE","CONTINENT","ISO","NAME_0","NAME_1","map_prev_210_2019","prev_2_10","prev_0_5","inf_inc_0_5","clin_inc_0_5","sev_inc_0_5","sev_inc_0_10","sev_inc_0_1","sev_inc_1_2","sev_inc_2_3","sev_inc_3_4","sev_inc_4_5","sev_inc_5_6","sev_inc_6_7","sev_inc_7_8","sev_inc_8_9","sev_inc_9_10","eir","inc_sma_ppy","inc_sma_ppy_0_10","prev_2_10_round","ind_sma","prev_2_10_sma","inc_sma_ppy_0_5_paton","inc_rds_ppy_0_10","inc_cm_ppy_0_10","inc_sma_ppy_genpop_prophosp_paton07","inc_sma_ppy_genpop_prophosp_paton05","inc_sma_ppy_genpop_prophosp_paton03","repmod_no_pmc_h03__ph07_inc_sma_ppy","repmod_no_pmc_h03__ph07_inc_sma_all_paton_eq_check","repmod_no_pmc_h03__ph07_inc_sma_all_hosp_eq","repmod_no_pmc_h03__ph07_inc_sma_pd_eq","repmod_no_pmc_h03__ph07_inc_sev_oth_pd_eq","repmod_no_pmc_h03__ph07_inc_sma_1_3_pd_eq","repmod_no_pmc_h03__ph07_inc_sev_oth_1_3_pd_eq","repmod_no_pmc_h03__ph07_num_pmc_eq","repmod_no_pmc_h03__ph07_num_sma_gen_pppy","repmod_no_pmc_h03__ph07_num_sma_pd_pppy","repmod_no_pmc_h03__ph07_num_sev_oth_pd_pppy","repmod_no_pmc_h03__ph07_deaths_pppy","repmod_pmc_h03__ph07_inc_sma_ppy","repmod_pmc_h03__ph07_inc_sma_all_paton_eq_check","repmod_pmc_h03__ph07_inc_sma_all_hosp_eq","repmod_pmc_h03__ph07_inc_sma_pd_eq","repmod_pmc_h03__ph07_inc_sev_oth_pd_eq","repmod_pmc_h03__ph07_inc_sma_1_3_pd_eq","repmod_pmc_h03__ph07_inc_sev_oth_1_3_pd_eq","repmod_pmc_h03__ph07_num_pmc_eq","repmod_pmc_h03__ph07_num_sma_gen_pppy","repmod_pmc_h03__ph07_num_sma_pd_pppy","repmod_pmc_h03__ph07_num_sev_oth_pd_pppy","repmod_pmc_h03__ph07_deaths_pppy","repmod_no_pmc_h05__ph05_inc_sma_ppy","repmod_no_pmc_h05__ph05_inc_sma_all_paton_eq_check","repmod_no_pmc_h05__ph05_inc_sma_all_hosp_eq","repmod_no_pmc_h05__ph05_inc_sma_pd_eq","repmod_no_pmc_h05__ph05_inc_sev_oth_pd_eq","repmod_no_pmc_h05__ph05_inc_sma_1_3_pd_eq","repmod_no_pmc_h05__ph05_inc_sev_oth_1_3_pd_eq","repmod_no_pmc_h05__ph05_num_pmc_eq","repmod_no_pmc_h05__ph05_num_sma_gen_pppy","repmod_no_pmc_h05__ph05_num_sma_pd_pppy","repmod_no_pmc_h05__ph05_num_sev_oth_pd_pppy","repmod_no_pmc_h05__ph05_deaths_pppy","repmod_pmc_h05__ph05_inc_sma_ppy","repmod_pmc_h05__ph05_inc_sma_all_paton_eq_check","repmod_pmc_h05__ph05_inc_sma_all_hosp_eq","repmod_pmc_h05__ph05_inc_sma_pd_eq","repmod_pmc_h05__ph05_inc_sev_oth_pd_eq","repmod_pmc_h05__ph05_inc_sma_1_3_pd_eq","repmod_pmc_h05__ph05_inc_sev_oth_1_3_pd_eq","repmod_pmc_h05__ph05_num_pmc_eq","repmod_pmc_h05__ph05_num_sma_gen_pppy","repmod_pmc_h05__ph05_num_sma_pd_pppy","repmod_pmc_h05__ph05_num_sev_oth_pd_pppy","repmod_pmc_h05__ph05_deaths_pppy","repmod_no_pmc_h07__ph03_inc_sma_ppy","repmod_no_pmc_h07__ph03_inc_sma_all_paton_eq_check","repmod_no_pmc_h07__ph03_inc_sma_all_hosp_eq","repmod_no_pmc_h07__ph03_inc_sma_pd_eq","repmod_no_pmc_h07__ph03_inc_sev_oth_pd_eq","repmod_no_pmc_h07__ph03_inc_sma_1_3_pd_eq","repmod_no_pmc_h07__ph03_inc_sev_oth_1_3_pd_eq","repmod_no_pmc_h07__ph03_num_pmc_eq","repmod_no_pmc_h07__ph03_num_sma_gen_pppy","repmod_no_pmc_h07__ph03_num_sma_pd_pppy","repmod_no_pmc_h07__ph03_num_sev_oth_pd_pppy","repmod_no_pmc_h07__ph03_deaths_pppy","repmod_pmc_h07__ph03_inc_sma_ppy","repmod_pmc_h07__ph03_inc_sma_all_paton_eq_check","repmod_pmc_h07__ph03_inc_sma_all_hosp_eq","repmod_pmc_h07__ph03_inc_sma_pd_eq","repmod_pmc_h07__ph03_inc_sev_oth_pd_eq","repmod_pmc_h07__ph03_inc_sma_1_3_pd_eq","repmod_pmc_h07__ph03_inc_sev_oth_1_3_pd_eq","repmod_pmc_h07__ph03_num_pmc_eq","repmod_pmc_h07__ph03_num_sma_gen_pppy","repmod_pmc_h07__ph03_num_sma_pd_pppy","repmod_pmc_h07__ph03_num_sev_oth_pd_pppy","repmod_pmc_h07__ph03_deaths_pppy"
1,100035,"Africa","AGO","Angola","Bengo",0.217096324068262,0.2192558,0.152535086027397,0.953011562547945,0.608136439726027,0.0241539281246575,0.0156101220454521,0.0217837448454795,0.0345110542767123,0.0283475426767123,0.0204722013246575,0.0149680350320548,0.0107379059820548,0.00736092799909589,0.00545593339241096,0.00421620226046575,0.00309430764926027,5.11442896547945,0.0129328694882092,0.00816362924136236,0.217,218,0.217,0.000975333061676329,0.0016928417172806,0.00124485908226922,0.00123118093491073,0.00172759655325884,0.00288537361673535,0.00138773692169654,0.000971415291194184,0.000416320522499919,0.330487280072773,0.436627164859819,0.399933830485903,0.528378426789802,0.000385512583950057,0.00123050929334987,0.000157227098251979,0.000207692253408875,0.000178096248978349,0.00135920123478357,0.000951440332924709,0.000407759838995601,0.269630545272718,0.3562187248016,0.29893068467235,0.39491989363281,0.000377585399975499,0.00123051220523098,0.000128688595708247,0.000169995034108916,0.000173865572241337,0.00195060534789547,0.000975301370913068,0.000975301370913068,0.330430453678293,0.436552085763953,0.399008365188528,0.527155518231401,0.000903127862780879,0.00172624894103632,0.000224355345779107,0.000296366657808848,0.000220947639805218,0.00188469960693414,0.000942348586997,0.000942348586997,0.232166437245795,0.306720505143061,0.235283859449926,0.310827495928949,0.000872613665079701,0.00172625930990339,0.000158439547733055,0.000209296829543132,0.000212326005980432,0.00326237587918694,0.000978709702030865,0.00228366005373076,0.330373801968257,0.436477237469273,0.398087204345449,0.52593829858177,0.00211466259422557,0.00288154525620169,0.000380827616513671,0.000503061861578746,0.000320357681835731,0.00311021863341149,0.00093306280725046,0.00217715026060873,0.197004769696047,0.26026579078145,0.175002389216394,0.231185869549435,0.00201603512862526,0.00288158881961043,0.00022862800882922,0.000302017559217536,0.000303106550183366
2,100036,"Africa","AGO","Angola","Benguela",0.0984915279450215,0.0999974594520548,0.0649802189041096,0.292739774082192,0.214961680520548,0.012177663518274,0.00920398688978082,0.00870609311780822,0.0138567706931507,0.0147087636876712,0.0130334202243836,0.0106790909986301,0.00870964872835616,0.00653205078676712,0.00556534173389041,0.0047042895080274,0.00406304265336986,1.43971712328767,0.00615875973810412,0.00432524204806377,0.098,99,0.098,0.000268359417174434,0.00096787614398564,0.000807767953151141,0.000327437579814719,0.000515931918965978,0.000860553685334573,0.00034042701655025,0.000238298878234636,0.000102128071638858,0.10313950807609,0.136265589581259,0.128853868666346,0.170239199143529,9.45705810901536e-05,0.000327391473693178,1.30355311241551e-05,1.72214680831815e-05,4.31174725666836e-05,0.000338142689706924,0.000236699849878063,0.000101442774003406,0.0849873688894952,0.112282749597475,0.0967535398002482,0.127827143930113,9.39359956843475e-05,0.000327391538084506,1.07511419385126e-05,1.42035536331527e-05,4.27787987600244e-05,0.000536702528244946,0.000268351165475349,0.000268351165475349,0.103134404951473,0.136258847376769,0.12875817352279,0.170112761345863,0.000248493087877118,0.000515815437170695,2.08870615567808e-05,2.75942623096011e-05,5.9986450346883e-05,0.000530728220070623,0.000265364013572146,0.000265364013572146,0.0735264678879358,0.0971406569974544,0.0763349605549356,0.100850040223576,0.000245726987242047,0.000515815727478883,1.49124715175127e-05,1.97012106671987e-05,5.92049048053341e-05,0.000895639817924227,0.000268691714619966,0.000626947641781402,0.10312930649019,0.136252111333532,0.128662620597701,0.169986511466135,0.000580553017705223,0.000860224038629974,3.54156958677344e-05,4.67882956096724e-05,8.67666370530636e-05,0.00088174709039758,0.000264523903465363,0.000617222739616146,0.0625486630855246,0.0826369721048857,0.0567201740218356,0.0749353670982884,0.000571547773651121,0.000860225261216001,2.15217784593871e-05,2.84329927874283e-05,8.51915364162627e-05
3,100037,"Africa","AGO","Angola","Bie",0.290968621689498,0.290307964383562,0.212414142465753,1.64747797260274,0.934481783260274,0.0304358764178082,0.0183630357553699,0.0313371240884932,0.0461804345235616,0.0345693446394521,0.0233285118556164,0.0151803708020822,0.00968205815410959,0.00617281531375343,0.00437271522035616,0.00331917908260274,0.00257076803380822,9.43691891232877,0.0167082401170702,0.010134489119601,0.291,292,0.291,0.00156571604552039,0.00203021414251442,0.00139417888454031,0.0018413475297636,0.00258624513557039,0.00432591839057864,0.00222316113958982,0.00155621137611901,0.000666946920155718,0.538796998943151,0.711830282957735,0.633887000200606,0.837455316155307,0.000617592282441741,0.00183980597758962,0.000383353229961368,0.000506346228638822,0.000288253614801696,0.002151591513276,0.00150611272765567,0.000645476122282529,0.435713805585511,0.575623429872021,0.472004040727509,0.623542598777873,0.000597710359968142,0.00183981653067903,0.000311773411231478,0.00041180636990149,0.000277642839750483,0.00313070723022916,0.0015653502586981,0.0015653502586981,0.538636640418087,0.711618416380442,0.63155506005297,0.834373629424167,0.00144951122773524,0.00258314230593311,0.000547561049579672,0.000723237700001784,0.000358321395274383,0.00296640775240915,0.00148320086273256,0.00148320086273256,0.373645586155719,0.493616837945762,0.37081774741029,0.489850142849797,0.00137344120695172,0.00258317985275248,0.000383225187644497,0.000506189192458441,0.000336828230511868,0.00524777929681784,0.00157432586707164,0.0036734375860926,0.538477106856646,0.711407639803578,0.629240421139312,0.831314812840836,0.00340158607830192,0.00431706781748353,0.000930700472087989,0.0012293018672201,0.000520763309711051,0.00487051883603008,0.00146114882677448,0.00340935636125139,0.316394042292135,0.417978155882669,0.276117610940847,0.364738327055487,0.00315704924347416,0.00431722547746263,0.000553286814441662,0.000730828188269953,0.000477990584063175
4,100038,"Africa","AGO","Angola","Cabinda",0.305925088076791,0.307701931506849,0.22320264109589,1.73725580931507,0.969744883457534,0.0312885894728904,0.0187656074881918,0.0316255262665753,0.0481689210408219,0.0352399190849315,0.0238544037156164,0.0152968249492329,0.00954287258109589,0.00599446804942466,0.00427897649230137,0.00304329794117808,0.00244307722578082,10.0708032523288,0.0171182366022195,0.0103401568259974,0.306,307,0.306,0.00168301358379226,0.00206505244284274,0.00141157629321046,0.00196277872716721,0.00275719061858004,0.00461463791728614,0.00238914229412384,0.00167239796414126,0.000716741046332499,0.564540498000659,0.745840241735076,0.661905095491441,0.874469149164601,0.000663701555238852,0.00196102179031176,0.000428118204075199,0.0005654662112686,0.000310135914470476,0.00230895506374313,0.00161626701113508,0.000692684985543158,0.456041565376539,0.602476682619534,0.492647755021088,0.650810526765494,0.000641425686843284,0.00196103434035524,0.000347918854322071,0.000459543629285895,0.000298247516426516,0.00336524137945092,0.00168261681165625,0.00168261681165625,0.564363283468033,0.745606104845079,0.659361588609815,0.871107841556631,0.00155809957097633,0.00275365275744534,0.000611584008646977,0.000807791256782118,0.000385618916990688,0.00318128616292164,0.00159063961560951,0.00159063961560951,0.390886922939776,0.516392090821186,0.386954688948731,0.511163367492072,0.00147292907260192,0.00275369740856916,0.000427585528715367,0.000564776828064868,0.000361554447784744,0.00564465323560175,0.00169338680525163,0.00395124809990029,0.564187026414828,0.745373233047186,0.656837800909745,0.867772600898319,0.00365883592292154,0.00460453318423501,0.0010401069312852,0.00137379245495294,0.000560814699661499,0.00522235824847881,0.00156669962897879,0.00365564292845384,0.330912369265983,0.437155961056514,0.288175967253414,0.380663559439201,0.00338510839646325,0.00460472082195272,0.000617629634940204,0.000815808924392807,0.000512936021091845
5,100039,"Africa","AGO","Angola","Cuando Cubango",0.28554319643034,0.288625742465753,0.208632997260274,1.65104814926027,0.942399723205479,0.0310624287709863,0.0187167429071233,0.0329377548879452,0.0463354143134247,0.0357198470671233,0.0233066860256712,0.015198008166411,0.00951067805315069,0.00620012959890411,0.00433796688969863,0.00318213526331507,0.00241175662339726,9.69094816273973,0.0170809724274902,0.0103292489521939,0.286,287,0.286,0.00152606155025175,0.00206413564011773,0.00140668606320053,0.00178852831404767,0.0025126720735712,0.00420357663283315,0.00216665998831214,0.00151666064158391,0.000649996646155827,0.549252272701423,0.725642846325978,0.645289046346132,0.852518234526163,0.00060189635686302,0.00178707205511874,0.000379586075025309,0.000501367861697353,0.000281061486375373,0.00209569895378226,0.00146698800431313,0.000628708422753527,0.443974702247048,0.586536210191302,0.480407160980743,0.634642179176934,0.000582183497206306,0.00178708220114969,0.000308615241774419,0.00040763291138196,0.000270540952216762,0.00305206522562442,0.00152602942293161,0.00152602942293161,0.549085179647826,0.725422082027754,0.642872124205757,0.849324230309584,0.00141310028761733,0.00250973926122942,0.000542322235859089,0.000716314410213982,0.000349488731925414,0.0028891743782655,0.00144458433053962,0.00144458433053962,0.3806541321819,0.502874925148176,0.377387069960388,0.498526764594971,0.00133768244143042,0.00250977537444424,0.000379396395247168,0.000501129544335636,0.000328179871994514,0.00511720034850247,0.00153515257194428,0.0035820327116413,0.548918963746741,0.725202476686436,0.640473461717083,0.846154363367418,0.00331694600479173,0.00419520739258569,0.000921982359687435,0.00121778041935891,0.000508052549945493,0.00474321589876736,0.00142295829764284,0.0033202446572165,0.322296477213942,0.425774926032376,0.281026008167726,0.371220787081001,0.00307453256600028,0.00419535907256516,0.000547850529296266,0.000723644328071814,0.000465651344397722
6,100040,"Africa","AGO","Angola","Cuanza Norte",0.307290325068948,0.30587218630137,0.222838287671233,1.72293246745205,0.955788067356164,0.0308029628420822,0.0185858929636959,0.0316727063287671,0.0462674674827397,0.0357751758956164,0.0234350870807123,0.0147710888878082,0.00944736482772603,0.00625096555419178,0.00435295829460274,0.00313605913671233,0.00231244764452055,9.82681446575342,0.0168664085819946,0.0102053157304555,0.307,308,0.307,0.00169072753770757,0.00204127538340902,0.00139639897346807,0.00197808643060817,0.00277918152082182,0.00464820123514557,0.00240029868883651,0.00168020742503253,0.000720087949371159,0.554767898491164,0.732929586899089,0.651291452389902,0.860447825524556,0.000666800781560826,0.00197630409540047,0.000423992298113956,0.000560019330340028,0.000311447029718577,0.00232098217273535,0.0016246859713945,0.000696293102197627,0.44832986549758,0.592289440781221,0.484829676066275,0.640483802456537,0.000644766796640028,0.00197631662591222,0.000344663680815533,0.000455246151061317,0.000299687712933606,0.00338138616633582,0.00169068916777609,0.00169068916777609,0.554597191429791,0.732704047740446,0.648829177816463,0.857193880462036,0.00156557453873821,0.00277559149490674,0.000605790065329169,0.000800142351868027,0.000387296545900819,0.00319934190255448,0.00159966744599175,0.00159966744599175,0.384347990970068,0.507754393592563,0.380844077637498,0.503092683391285,0.00148128880718114,0.00277563609602731,0.000423702584676802,0.000559650461769785,0.000363482039893913,0.00566749837956545,0.00170024027404606,0.00396723962622301,0.55442738992881,0.732479705073786,0.646385681455158,0.853964758269966,0.00367364391711329,0.00463796249363179,0.0010295228049193,0.00135981926615734,0.000562831214143276,0.00524976359785691,0.00157492115124928,0.00367482659044268,0.325406926925174,0.42988363575474,0.283609275496637,0.374632456189155,0.00340287228944783,0.00463814968001421,0.000611606146192009,0.000807855958724235,0.000515469504612889
7,100041,"Africa","AGO","Angola","Cuanza Sul",0.198385796215388,0.204864334246575,0.141462793424658,0.814116394986301,0.538371894986301,0.0223970080285479,0.0146770398017534,0.0193202235010959,0.0304093940273973,0.0265692359063014,0.0205683843142466,0.0145078505415616,0.0100650100363288,0.00757727274,0.0055221263829863,0.00433010759035616,0.0033985415490137,4.38803686356164,0.0118380116717925,0.00754888063660185,0.198,199,0.198,0.000833117214264102,0.00158425729684571,0.0011884313668323,0.00106708686122495,0.0014966820574362,0.00249950353325912,0.00118591935973495,0.000830143147232106,0.000355775403338477,0.289438650024595,0.382396101060716,0.352250110719976,0.465381608501938,0.000329447862921423,0.0010665849659801,0.000119334045042234,0.000157639853400768,0.000151859507458986,0.00116439028290215,0.000815072808029638,0.000349316694861003,0.236559351671782,0.312528623759027,0.26349791817175,0.348112057326472,0.000323467104637555,0.00106658688313547,9.78031139702871e-05,0.000129198416058875,0.000148667621971311,0.00166588656776608,0.000832942333499858,0.000832942333499858,0.289395639472297,0.382339275527096,0.351532642914912,0.464433564914791,0.000771303720708313,0.00149567616263644,0.000170209707652427,0.00022484643301186,0.000188274626766343,0.00161611215823835,0.000808055184660782,0.000808055184660782,0.203860094134683,0.269325922480853,0.207478523845216,0.274097538198971,0.000748258272723576,0.0014956829878959,0.000120428676893873,0.000159087819952276,0.000181763254800359,0.00278555806162621,0.000835665186336828,0.00194988841101519,0.28935274391023,0.382282601923229,0.350818110189221,0.463489400273469,0.00180559184563131,0.00249664698158204,0.000288909103861171,0.000381647948981471,0.00027291483395273,0.00267048299248839,0.000801142846247305,0.00186933604323866,0.173060919514211,0.22863477140951,0.154290269229267,0.203826986291445,0.0017310007433677,0.0024966756763356,0.000173806127319018,0.000229601821837881,0.000259867991351733
8,100042,"Africa","AGO","Angola","Cunene",0.100345424490825,0.101222078630137,0.0652472824657534,0.318575375808219,0.233325601232877,0.0131803639624658,0.00956085492868493,0.00926012090931507,0.0153422279890411,0.0158615362643836,0.013994497329863,0.0115678619843836,0.00874359084164384,0.00645826915109589,0.00538533818293151,0.00411377980353425,0.00336915400358904,1.55276406356164,0.00667211846464921,0.00457169851221257,0.1,101,0.1,0.000275788255157676,0.00101322218979802,0.00083143731407315,0.000377336966089145,0.00050443592235079,0.000857002619200445,0.000393427361868328,0.00027539910880492,0.000118028164049497,0.110889526673116,0.146504680106946,0.138382981272835,0.182828821454821,0.000109294062226436,0.000377275672606372,1.61516725670617e-05,2.13381757178107e-05,4.98546583030391e-05,0.000390593359587658,0.000273415307835475,0.000117177963976111,0.0913420095337268,0.120678207399214,0.10389171058148,0.137257648443329,0.00010850677723409,0.000377275764553473,1.33175812686963e-05,1.75940650853286e-05,4.94344896881666e-05,0.000526282475376393,0.000263141142814084,0.000263141142814084,0.110883609555417,0.146496862459192,0.138272593024311,0.182682969727706,0.000243668610423374,0.000504324448115028,2.19579968812183e-05,2.90089831581871e-05,5.88509766934551e-05,0.000519995689425669,0.000259997752091368,0.000259997752091368,0.0790109731967597,0.104386485904006,0.0819595070383371,0.10828070988396,0.000240757832698507,0.000504324746487323,1.56709212856369e-05,2.07031439912281e-05,5.8028553997283e-05,0.000894598371107711,0.000268379281099199,0.000626218629558342,0.11087769826357,0.14648905250858,0.138162381017185,0.182537350875964,0.000579877953522558,0.000856675302334375,3.7922979765884e-05,5.01005213472101e-05,8.67093656040818e-05,0.000879711922077347,0.000263913353996503,0.000615798122827299,0.0672082130289111,0.0887928864893907,0.0609013009876163,0.080459027697516,0.000570228580703939,0.000856676605642675,2.30352623289591e-05,3.04323964292123e-05,8.50216018579603e-05
9,100043,"Africa","AGO","Angola","Huambo",0.0503003858468594,0.0510505569863014,0.0310383180821918,0.123346348821918,0.0956092036164384,0.00667016231068493,0.00624462464235616,0.00398385952328767,0.006628275,0.00744200319178082,0.00785181618082192,0.00782436204657534,0.00722424995287671,0.00628237277287671,0.00568608848328767,0.0048969253899726,0.00474792927219178,0.60173217169863,0.00325143309531059,0.00266966354680551,0.05,51,0.05,0.000131709812757637,0.000639562027632736,0.000592269812522415,0.000184337924094618,0.000201234687286131,0.000374978700168918,0.000187460837886419,0.000131222576415327,5.62382412526564e-05,0.0441184310331034,0.0582884540084652,0.0555866072335553,0.073440078705474,5.2076607386261e-05,0.000184323429925517,3.13740633600158e-06,4.14500268297486e-06,2.36527915468023e-05,0.000186916468825523,0.000130841518143484,5.6074930580858e-05,0.0364494956660637,0.0481562820425709,0.0417917014653649,0.0552141623537588,5.1925381745918e-05,0.00018432343867852,2.59302883753448e-06,3.42579846599548e-06,2.35720833453439e-05,0.000204700164822001,0.000102350068081208,0.000102350068081208,0.0441175198077315,0.0582872501086784,0.0555688184162506,0.0734165758404605,9.47761497438712e-05,0.000201217116462856,3.48304643901092e-06,4.60164717844518e-06,2.27905006409978e-05,0.000203711446042109,0.00010185570880929,0.00010185570880929,0.0315746280589853,0.0417156586825779,0.0329947308748168,0.0435916649501586,9.43183731998827e-05,0.00020121713534665,2.49430932039615e-06,3.29537724985579e-06,2.2661158670804e-05,0.000381514673136669,0.000114454360053258,0.000267060229340333,0.0441166089323214,0.0582860466713384,0.0555510409763086,0.073393088007746,0.000247297681883069,0.000374916659930167,6.59800642923103e-06,8.71699471411558e-06,3.68146264576319e-05,0.000378940062757059,0.000113681977530965,0.000265258002609463,0.0268792718187451,0.035512229950465,0.0245111067190438,0.032383243946455,0.000245628821166686,0.000374916759455102,4.02329916934503e-06,5.31542064847866e-06,3.65227284008914e-05
10,100044,"Africa","AGO","Angola","Huila",0.0600144895335197,0.0628164964383562,0.039564684109589,0.159990890246575,0.123127864493151,0.00830232459890411,0.00758964246605479,0.0050411387060274,0.00866230175342466,0.00971520912328767,0.00971679096,0.00866647185753425,0.00835857332082192,0.00731233689890411,0.0067314592830137,0.00613732412523288,0.00544362780739726,0.770740563369863,0.00408239106464531,0.00328540989608176,0.06,61,0.06,0.000154412043830676,0.000778482268567846,0.000711823478378468,0.000217022438922241,0.000269253946732743,0.000472945440712107,0.000221712001885493,0.00015519838720333,6.65135864410302e-05,0.0562469679237455,0.0743124054567388,0.0707441496906566,0.0934659311959234,6.15915754199442e-05,0.00021700231538979,4.70968369566778e-06,6.22218902376324e-06,2.79967777212796e-05,0.000220893137971935,0.000154625182559996,6.6267927338806e-05,0.0464445898503659,0.0613615033658313,0.0531736016875197,0.0702515096046005,6.13640951609197e-05,0.000217002330788593,3.89080487015321e-06,5.14033514986957e-06,2.78753729363106e-05,0.000275164626663118,0.00013758228742183,0.00013758228742183,0.0562454791889558,0.0743104385574396,0.0707153299598418,0.0934278538715316,0.00012740117412613,0.000269222434910176,5.94218737000851e-06,7.85050868539591e-06,3.06606179527844e-05,0.000273475167771808,0.000136737558293608,0.000136737558293608,0.0402222637559543,0.0531406239867103,0.0419747727360928,0.0554556679531374,0.000126618955252485,0.000269222478067353,4.25268656769044e-06,5.61844110730148e-06,3.04396067527079e-05,0.00048345724654261,0.000145037106733241,0.000338420005334052,0.0562439911859707,0.0743084726250273,0.0706865336995151,0.0933898075579907,0.000313376779670288,0.000472846568178292,1.06106646590342e-05,1.40182579599561e-05,4.66901728649458e-05,0.000479312284045595,0.000143793619111868,0.000335518532754397,0.0342359498386756,0.0452316041723688,0.031183560010011,0.041198504965109,0.000310690018515873,0.000472846769902746,6.46550576697145e-06,8.54192141134035e-06,4.62202348610205e-05
