"DIDE_CODE","CONTINENT","ISO","NAME_0","NAME_1","map_prev_210_2019","prev_2_10","prev_0_5","inf_inc_0_5","clin_inc_0_5","sev_inc_0_5","sev_inc_0_10","sev_inc_0_1","sev_inc_1_2","sev_inc_2_3","sev_inc_3_4","sev_inc_4_5","sev_inc_5_6","sev_inc_6_7","sev_inc_7_8","sev_inc_8_9","sev_inc_9_10","eir","inc_sma_ppy","inc_sma_ppy_0_10"
100035,"Africa","AGO","Angola","Bengo",0.217096324068262,0.2192558,0.152535086027397,0.953011562547945,0.608136439726027,0.0241539281246575,0.0156101220454521,0.0217837448454795,0.0345110542767123,0.0283475426767123,0.0204722013246575,0.0149680350320548,0.0107379059820548,0.00736092799909589,0.00545593339241096,0.00421620226046575,0.00309430764926027,5.11442896547945,0.0129328694882092,0.00816362924136236
100036,"Africa","AGO","Angola","Benguela",0.0984915279450215,0.0999974594520548,0.0649802189041096,0.292739774082192,0.214961680520548,0.012177663518274,0.00920398688978082,0.00870609311780822,0.0138567706931507,0.0147087636876712,0.0130334202243836,0.0106790909986301,0.00870964872835616,0.00653205078676712,0.00556534173389041,0.0047042895080274,0.00406304265336986,1.43971712328767,0.00615875973810412,0.00432524204806377
100037,"Africa","AGO","Angola","Bie",0.290968621689498,0.290307964383562,0.212414142465753,1.64747797260274,0.934481783260274,0.0304358764178082,0.0183630357553699,0.0313371240884932,0.0461804345235616,0.0345693446394521,0.0233285118556164,0.0151803708020822,0.00968205815410959,0.00617281531375343,0.00437271522035616,0.00331917908260274,0.00257076803380822,9.43691891232877,0.0167082401170702,0.010134489119601
100038,"Africa","AGO","Angola","Cabinda",0.305925088076791,0.307701931506849,0.22320264109589,1.73725580931507,0.969744883457534,0.0312885894728904,0.0187656074881918,0.0316255262665753,0.0481689210408219,0.0352399190849315,0.0238544037156164,0.0152968249492329,0.00954287258109589,0.00599446804942466,0.00427897649230137,0.00304329794117808,0.00244307722578082,10.0708032523288,0.0171182366022195,0.0103401568259974
100039,"Africa","AGO","Angola","Cuando Cubango",0.28554319643034,0.288625742465753,0.208632997260274,1.65104814926027,0.942399723205479,0.0310624287709863,0.0187167429071233,0.0329377548879452,0.0463354143134247,0.0357198470671233,0.0233066860256712,0.015198008166411,0.00951067805315069,0.00620012959890411,0.00433796688969863,0.00318213526331507,0.00241175662339726,9.69094816273973,0.0170809724274902,0.0103292489521939
100040,"Africa","AGO","Angola","Cuanza Norte",0.307290325068948,0.30587218630137,0.222838287671233,1.72293246745205,0.955788067356164,0.0308029628420822,0.0185858929636959,0.0316727063287671,0.0462674674827397,0.0357751758956164,0.0234350870807123,0.0147710888878082,0.00944736482772603,0.00625096555419178,0.00435295829460274,0.00313605913671233,0.00231244764452055,9.82681446575342,0.0168664085819946,0.0102053157304555
100041,"Africa","AGO","Angola","Cuanza Sul",0.198385796215388,0.204864334246575,0.141462793424658,0.814116394986301,0.538371894986301,0.0223970080285479,0.0146770398017534,0.0193202235010959,0.0304093940273973,0.0265692359063014,0.0205683843142466,0.0145078505415616,0.0100650100363288,0.00757727274,0.0055221263829863,0.00433010759035616,0.0033985415490137,4.38803686356164,0.0118380116717925,0.00754888063660185
100042,"Africa","AGO","Angola","Cunene",0.100345424490825,0.101222078630137,0.0652472824657534,0.318575375808219,0.233325601232877,0.0131803639624658,0.00956085492868493,0.00926012090931507,0.0153422279890411,0.0158615362643836,0.013994497329863,0.0115678619843836,0.00874359084164384,0.00645826915109589,0.00538533818293151,0.00411377980353425,0.00336915400358904,1.55276406356164,0.00667211846464921,0.00457169851221257
100043,"Africa","AGO","Angola","Huambo",0.0503003858468594,0.0510505569863014,0.0310383180821918,0.123346348821918,0.0956092036164384,0.00667016231068493,0.00624462464235616,0.00398385952328767,0.006628275,0.00744200319178082,0.00785181618082192,0.00782436204657534,0.00722424995287671,0.00628237277287671,0.00568608848328767,0.0048969253899726,0.00474792927219178,0.60173217169863,0.00325143309531059,0.00266966354680551
100044,"Africa","AGO","Angola","Huila",0.0600144895335197,0.0628164964383562,0.039564684109589,0.159990890246575,0.123127864493151,0.00830232459890411,0.00758964246605479,0.0050411387060274,0.00866230175342466,0.00971520912328767,0.00971679096,0.00866647185753425,0.00835857332082192,0.00731233689890411,0.0067314592830137,0.00613732412523288,0.00544362780739726,0.770740563369863,0.00408239106464531,0.00328540989608176
100045,"Africa","AGO","Angola","Luanda",0.144968579096181,0.146585780821918,0.097864675890411,0.493935011808219,0.346926011679452,0.0166996498739452,0.0117783980985753,0.0133941412342466,0.0211088631835616,0.0202301360342466,0.0159694666758904,0.0126492383378082,0.00981522557339726,0.00756607000205479,0.00601970297312329,0.00472982028558904,0.00377992214076712,2.55027165726027,0.00867518005928972,0.00580684065090666
100046,"Africa","AGO","Angola","Lunda Norte",0.269743424157087,0.269201895890411,0.19141598630137,1.33470536252055,0.794863543243836,0.027814004969474,0.0172096938879452,0.0270019979178082,0.04088912632,0.0318475610767123,0.0222013433621918,0.0157500415595616,0.0101717869835068,0.00683128592734247,0.00455559809936986,0.00352730836643836,0.00264436098493151,7.52031725753425,0.0150605142366894,0.00926211207074282
100047,"Africa","AGO","Angola","Lunda Sul",0.235836235265789,0.23538362739726,0.167490205479452,1.07184524019178,0.672540882684932,0.0253445051674521,0.0160806153342466,0.0228488410273973,0.0364507221665753,0.0300291948531507,0.0216808106575342,0.0147790615029589,0.0106419509067397,0.00734638309638356,0.00502949054112329,0.003772851388,0.00283351081126027,5.8825728630137,0.0135819207945023,0.00849174042273572
